r,u,omega
1.300000,0.800000,1.298611
1.300000,0.800000,1.298611
1.300000,0.800000,1.305556
0.800000,0.720000,1.298611
0.800000,0.650000,1.284722
0.800000,0.570000,1.270833
0.800000,0.500000,1.236111
0.800000,0.440000,1.187500
0.800000,0.390000,1.138889
0.800000,0.340000,1.090278
0.800000,0.300000,1.034722
0.800000,0.280000,0.972222
0.800000,0.260000,0.902778
0.800000,0.250000,0.847222
0.800000,0.250000,0.791667
0.800000,0.260000,0.743056
0.800000,0.280000,0.708333
0.800000,0.300000,0.673611
0.800000,0.320000,0.638889
0.800000,0.350000,0.611111
0.800000,0.390000,0.590278
0.800000,0.420000,0.576389
0.800000,0.460000,0.569444
0.800000,0.490000,0.569444
0.800000,0.530000,0.590278
0.800000,0.560000,0.625000
0.800000,0.580000,0.645833
0.800000,0.600000,0.687500
0.800000,0.610000,0.722222
0.800000,0.620000,0.763889
0.800000,0.620000,0.791667
0.800000,0.610000,0.826389
0.800000,0.610000,0.847222
0.800000,0.600000,0.861111
0.800000,0.590000,0.868056
0.800000,0.570000,0.875000
0.800000,0.560000,0.875000
0.800000,0.550000,0.875000
0.800000,0.540000,0.868056
0.800000,0.530000,0.854167
0.800000,0.520000,0.847222
0.800000,0.520000,0.833333
0.800000,0.510000,0.819444
0.800000,0.510000,0.819444
0.800000,0.510000,0.798611
0.800000,0.510000,0.791667
0.800000,0.520000,0.784722
0.800000,0.520000,0.777778
0.800000,0.520000,0.777778
0.800000,0.530000,0.770833
0.800000,0.530000,0.777778
0.800000,0.540000,0.770833
0.800000,0.540000,0.770833
0.800000,0.540000,0.770833
0.800000,0.550000,0.777778
0.800000,0.550000,0.784722
0.800000,0.550000,0.791667
0.800000,0.550000,0.798611
0.800000,0.550000,0.791667
0.800000,0.550000,0.805556
0.800000,0.550000,0.798611
0.800000,0.550000,0.812500
0.800000,0.550000,0.812500
0.800000,0.550000,0.812500
0.800000,0.550000,0.805556
0.800000,0.540000,0.805556
0.800000,0.540000,0.812500
0.800000,0.540000,0.805556
0.800000,0.540000,0.805556
0.800000,0.540000,0.812500
0.800000,0.540000,0.798611
0.800000,0.540000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
