k,u,omega
60.000000,0.600000,0.937500
61.000000,0.600000,0.944444
62.000000,0.600000,0.944444
63.000000,0.600000,0.944444
64.000000,0.600000,0.937500
65.000000,0.600000,0.937500
66.000000,0.600000,0.944444
67.000000,0.600000,0.944444
68.000000,0.600000,0.944444
69.000000,0.600000,0.937500
70.000000,0.600000,0.944444
71.000000,0.600000,0.937500
72.000000,0.600000,0.951389
73.000000,0.600000,0.937500
74.000000,0.600000,0.944444
75.000000,0.600000,0.937500
76.000000,0.600000,0.937500
77.000000,0.600000,0.944444
78.000000,0.600000,0.944444
79.000000,0.600000,0.944444
80.000000,0.600000,0.937500
81.000000,0.600000,0.937500
82.000000,0.600000,0.944444
83.000000,0.600000,0.944444
84.000000,0.600000,0.944444
85.000000,0.600000,0.937500
86.000000,0.600000,0.937500
87.000000,0.600000,0.944444
88.000000,0.600000,0.944444
89.000000,0.600000,0.944444
90.000000,0.600000,0.937500
91.000000,0.600000,0.937500
92.000000,0.600000,0.944444
93.000000,0.600000,0.944444
94.000000,0.600000,0.944444
95.000000,0.600000,0.937500
96.000000,0.600000,0.944444
97.000000,0.600000,0.937500
98.000000,0.600000,0.944444
99.000000,0.600000,0.944444
100.000000,0.600000,0.937500
101.000000,0.800000,0.944444
102.000000,0.800000,0.965278
103.000000,0.800000,1.041667
104.000000,0.800000,1.104167
105.000000,0.800000,1.152778
106.000000,0.800000,1.180556
107.000000,0.800000,1.222222
108.000000,0.800000,1.243056
109.000000,0.800000,1.263889
110.000000,0.800000,1.270833
111.000000,0.800000,1.291667
112.000000,0.800000,1.305556
113.000000,0.800000,1.305556
114.000000,0.800000,1.312500
115.000000,0.800000,1.319444
116.000000,0.800000,1.326389
117.000000,0.800000,1.326389
118.000000,0.800000,1.326389
119.000000,0.800000,1.333333
120.000000,0.800000,1.340278
121.000000,0.800000,1.333333
122.000000,0.800000,1.333333
123.000000,0.800000,1.347222
124.000000,0.800000,1.333333
125.000000,0.800000,1.340278
126.000000,0.800000,1.340278
127.000000,0.800000,1.347222
128.000000,0.800000,1.340278
129.000000,0.800000,1.333333
130.000000,0.800000,1.347222
131.000000,0.800000,1.347222
132.000000,0.800000,1.340278
133.000000,0.800000,1.340278
134.000000,0.800000,1.347222
135.000000,0.800000,1.340278
136.000000,0.800000,1.340278
137.000000,0.800000,1.340278
138.000000,0.800000,1.354167
139.000000,0.800000,1.340278
140.000000,0.800000,1.340278
141.000000,0.800000,1.347222
142.000000,0.800000,1.347222
143.000000,0.800000,1.340278
144.000000,0.800000,1.340278
145.000000,0.800000,1.347222
146.000000,0.800000,1.347222
147.000000,0.800000,1.340278
148.000000,0.800000,1.340278
149.000000,0.800000,1.347222
150.000000,0.800000,1.347222
151.000000,0.800000,1.340278
152.000000,0.800000,1.340278
153.000000,0.800000,1.354167
154.000000,0.800000,1.340278
155.000000,0.800000,1.340278
156.000000,0.800000,1.347222
157.000000,0.800000,1.347222
158.000000,0.800000,1.340278
159.000000,0.800000,1.340278
160.000000,0.800000,1.347222
161.000000,0.800000,1.347222
162.000000,0.800000,1.340278
163.000000,0.800000,1.347222
164.000000,0.800000,1.347222
165.000000,0.800000,1.340278
166.000000,0.800000,1.340278
167.000000,0.800000,1.347222
168.000000,0.800000,1.347222
169.000000,0.800000,1.347222
170.000000,0.800000,1.340278
171.000000,0.800000,1.340278
172.000000,0.800000,1.347222
173.000000,0.800000,1.347222
174.000000,0.800000,1.340278
175.000000,0.800000,1.347222
176.000000,0.800000,1.340278
177.000000,0.800000,1.347222
178.000000,0.800000,1.340278
179.000000,0.800000,1.347222
180.000000,0.800000,1.347222
181.000000,0.800000,1.340278
182.000000,0.800000,1.347222
183.000000,0.800000,1.347222
184.000000,0.800000,1.340278
185.000000,0.800000,1.340278
186.000000,0.800000,1.347222
187.000000,0.800000,1.347222
188.000000,0.800000,1.340278
189.000000,0.800000,1.340278
190.000000,0.800000,1.354167
191.000000,0.800000,1.340278
192.000000,0.800000,1.340278
193.000000,0.800000,1.347222
194.000000,0.800000,1.347222
195.000000,0.800000,1.340278
196.000000,0.800000,1.347222
197.000000,0.800000,1.340278
198.000000,0.800000,1.347222
199.000000,0.800000,1.347222
200.000000,0.800000,1.340278
0.000000,0.800000,1.347222
1.000000,0.600000,1.347222
2.000000,0.600000,1.319444
3.000000,0.600000,1.291667
4.000000,0.600000,1.256944
5.000000,0.600000,1.215278
6.000000,0.600000,1.187500
7.000000,0.600000,1.159722
8.000000,0.600000,1.131944
9.000000,0.600000,1.111111
10.000000,0.600000,1.083333
11.000000,0.600000,1.062500
12.000000,0.600000,1.041667
13.000000,0.600000,1.041667
14.000000,0.600000,1.013889
15.000000,0.600000,1.006944
16.000000,0.600000,0.993056
17.000000,0.600000,0.993056
18.000000,0.600000,0.986111
19.000000,0.600000,0.972222
20.000000,0.600000,0.965278
21.000000,0.600000,0.965278
22.000000,0.600000,0.958333
23.000000,0.600000,0.965278
24.000000,0.600000,0.951389
25.000000,0.600000,0.951389
26.000000,0.600000,0.951389
27.000000,0.600000,0.944444
28.000000,0.600000,0.951389
29.000000,0.600000,0.951389
30.000000,0.600000,0.944444
31.000000,0.600000,0.944444
