r,u,omega
1.300000,0.782500,1.291667
1.300000,0.783400,1.305556
1.300000,0.785700,1.298611
1.300000,0.783300,1.298611
1.300000,0.784000,1.298611
1.300000,0.784300,1.298611
1.300000,0.784500,1.305556
1.300000,0.784700,1.298611
1.300000,0.782900,1.298611
1.300000,0.783800,1.298611
1.300000,0.784200,1.305556
1.300000,0.784500,1.291667
1.300000,0.782800,1.298611
1.300000,0.785700,1.305556
1.300000,0.785200,1.298611
1.300000,0.783400,1.298611
1.300000,0.784200,1.298611
1.300000,0.784600,1.305556
1.300000,0.784800,1.298611
1.300000,0.783100,1.298611
1.300000,0.784100,1.298611
1.300000,0.784500,1.305556
1.300000,0.784800,1.298611
1.300000,0.783100,1.298611
1.300000,0.784000,1.298611
1.300000,0.784500,1.305556
1.300000,0.784700,1.298611
1.300000,0.783000,1.298611
1.300000,0.784000,1.305556
1.300000,0.784400,1.298611
1.300000,0.782800,1.298611
1.300000,0.783800,1.298611
1.300000,0.784200,1.305556
1.300000,0.784400,1.298611
1.300000,0.782700,1.298611
1.300000,0.783700,1.298611
1.300000,0.784100,1.305556
1.300000,0.784300,1.298611
1.300000,0.782600,1.298611
1.300000,0.783600,1.298611
1.300000,0.784000,1.305556
1.300000,0.784200,1.291667
1.300000,0.782500,1.298611
1.300000,0.785300,1.298611
1.300000,0.784900,1.305556
1.300000,0.784900,1.298611
1.300000,0.783000,1.298611
1.300000,0.783900,1.298611
1.300000,0.784300,1.305556
1.300000,0.784500,1.298611
1.300000,0.782800,1.298611
1.300000,0.783800,1.298611
1.300000,0.784200,1.305556
1.300000,0.784400,1.298611
1.300000,0.782700,1.298611
1.300000,0.783700,1.298611
1.300000,0.784100,1.305556
1.300000,0.784300,1.291667
1.300000,0.782600,1.298611
1.300000,0.785400,1.305556
1.300000,0.785000,1.298611
1.300000,0.783100,1.298611
1.300000,0.784000,1.298611
1.300000,0.784300,1.305556
1.300000,0.784500,1.298611
1.300000,0.782800,1.298611
1.300000,0.783800,1.298611
1.300000,0.784200,1.305556
1.300000,0.784400,1.298611
1.300000,0.782700,1.298611
1.300000,0.783700,1.298611
1.300000,0.784100,1.298611
1.300000,0.784300,1.298611
1.300000,0.784500,1.298611
1.300000,0.784600,1.298611
1.300000,0.784700,1.305556
1.300000,0.784900,1.298611
1.300000,0.783100,1.298611
1.300000,0.784000,1.298611
1.300000,0.784400,1.305556
1.300000,0.784700,1.298611
1.300000,0.783000,1.298611
1.300000,0.783900,1.298611
1.300000,0.784300,1.305556
1.300000,0.784600,1.298611
1.300000,0.782900,1.291667
1.300000,0.783800,1.305556
1.300000,0.786100,1.298611
0.800000,0.783700,1.298611
0.800000,0.784400,1.298611
0.800000,0.648800,1.305556
0.800000,0.571200,1.284722
0.800000,0.510700,1.256944
0.800000,0.465700,1.215278
0.800000,0.429800,1.180556
0.800000,0.402500,1.131944
0.800000,0.378300,1.076389
0.800000,0.360300,1.034722
0.800000,0.348300,0.993056
0.800000,0.337300,0.951389
0.800000,0.328100,0.902778
0.800000,0.321200,0.861111
0.800000,0.318700,0.826389
0.800000,0.318100,0.791667
0.800000,0.318100,0.763889
0.800000,0.319800,0.736111
0.800000,0.321800,0.701389
0.800000,0.325200,0.673611
0.800000,0.332300,0.652778
0.800000,0.340600,0.625000
0.800000,0.349000,0.604167
0.800000,0.360500,0.590278
0.800000,0.372700,0.583333
0.800000,0.384600,0.569444
0.800000,0.395300,0.555556
0.800000,0.408100,0.548611
0.800000,0.422500,0.555556
0.800000,0.436800,0.555556
0.800000,0.447900,0.562500
0.800000,0.459600,0.576389
0.800000,0.469900,0.590278
0.800000,0.477900,0.611111
0.800000,0.484600,0.625000
0.800000,0.488500,0.631944
0.800000,0.492500,0.645833
0.800000,0.498000,0.659722
0.800000,0.502300,0.673611
0.800000,0.505700,0.687500
0.800000,0.508300,0.701389
0.800000,0.510200,0.715278
0.800000,0.511400,0.715278
0.800000,0.511800,0.722222
0.800000,0.515200,0.729167
0.800000,0.518000,0.743056
0.800000,0.520600,0.743056
0.800000,0.520900,0.750000
0.800000,0.523600,0.763889
0.800000,0.525400,0.756944
0.800000,0.524800,0.770833
0.800000,0.528300,0.770833
0.800000,0.528100,0.770833
0.800000,0.529800,0.777778
0.800000,0.532100,0.784722
0.800000,0.533000,0.791667
0.800000,0.533000,0.784722
0.800000,0.532300,0.791667
0.800000,0.534900,0.798611
0.800000,0.535300,0.791667
0.800000,0.534600,0.805556
0.800000,0.536900,0.805556
0.800000,0.535000,0.798611
0.800000,0.534700,0.805556
0.800000,0.536800,0.805556
0.800000,0.536400,0.805556
0.800000,0.536700,0.812500
0.800000,0.537200,0.819444
0.800000,0.535900,0.805556
0.800000,0.533500,0.812500
0.800000,0.536100,0.812500
0.800000,0.535400,0.812500
0.800000,0.535300,0.812500
0.800000,0.535200,0.819444
0.800000,0.535100,0.812500
0.800000,0.533100,0.812500
0.800000,0.533900,0.812500
0.800000,0.534000,0.805556
0.800000,0.534000,0.819444
0.800000,0.535700,0.812500
0.800000,0.532800,0.812500
0.800000,0.533100,0.812500
0.800000,0.533000,0.812500
0.800000,0.532700,0.805556
0.800000,0.532400,0.812500
0.800000,0.533900,0.812500
0.800000,0.532700,0.812500
0.800000,0.532000,0.812500
0.800000,0.531300,0.805556
0.800000,0.530800,0.805556
0.800000,0.532100,0.812500
0.800000,0.532600,0.812500
0.800000,0.530900,0.805556
0.800000,0.529800,0.805556
0.800000,0.530900,0.812500
0.800000,0.531200,0.805556
0.800000,0.529400,0.805556
0.800000,0.530100,0.805556
0.800000,0.530200,0.812500
0.800000,0.530200,0.798611
0.800000,0.528100,0.805556
0.800000,0.530600,0.805556
0.800000,0.529800,0.798611
0.800000,0.529400,0.812500
0.800000,0.531000,0.805556
0.800000,0.527900,0.805556
0.800000,0.528100,0.798611
0.800000,0.527900,0.805556
0.800000,0.529500,0.798611
0.800000,0.528400,0.805556
0.800000,0.529600,0.805556
0.800000,0.528300,0.798611
0.800000,0.527600,0.805556
0.800000,0.528900,0.798611
0.800000,0.527600,0.798611
0.800000,0.528800,0.798611
0.800000,0.529300,0.805556
0.800000,0.529600,0.805556
0.800000,0.527900,0.798611
0.800000,0.527000,0.798611
0.800000,0.528200,0.798611
0.800000,0.528700,0.805556
0.800000,0.529000,0.798611
0.800000,0.527400,0.805556
0.800000,0.528300,0.798611
0.800000,0.526800,0.798611
0.800000,0.527900,0.798611
0.800000,0.528300,0.798611
0.800000,0.528600,0.805556
0.800000,0.528700,0.798611
0.800000,0.527000,0.798611
0.800000,0.527900,0.798611
0.800000,0.528200,0.798611
0.800000,0.528500,0.798611
0.800000,0.528600,0.805556
0.800000,0.528700,0.798611
0.800000,0.526900,0.798611
0.800000,0.527900,0.798611
0.800000,0.528200,0.798611
