r,u,omega
0.892500,0.569100,0.888889
0.891300,0.569900,0.895833
0.890000,0.569800,0.888889
0.888700,0.567300,0.888889
0.887500,0.567300,0.888889
0.886300,0.566500,0.881944
0.885000,0.565500,0.881944
0.883700,0.566200,0.888889
0.882500,0.566000,0.888889
0.881300,0.563500,0.875000
0.880000,0.561500,0.881944
0.878700,0.563400,0.875000
0.877500,0.561800,0.875000
0.876300,0.562400,0.881944
0.875000,0.562000,0.875000
0.873700,0.559400,0.875000
0.872500,0.559300,0.868056
0.871300,0.558400,0.868056
0.870000,0.559200,0.868056
0.868700,0.559000,0.875000
0.867500,0.558400,0.868056
0.866200,0.555700,0.861111
0.865000,0.555400,0.868056
0.863700,0.556400,0.861111
0.862500,0.554500,0.861111
0.861200,0.554800,0.868056
0.860000,0.554300,0.861111
0.858700,0.551600,0.854167
0.857500,0.551300,0.854167
0.856200,0.552300,0.854167
0.855000,0.552200,0.861111
0.853700,0.551700,0.854167
0.852500,0.548900,0.854167
0.851200,0.548700,0.847222
0.850000,0.547900,0.854167
0.848700,0.548600,0.847222
0.847500,0.546500,0.847222
0.846200,0.546700,0.847222
0.845000,0.546100,0.847222
0.843800,0.545100,0.840278
0.842500,0.544000,0.840278
0.841300,0.544600,0.840278
0.840000,0.544300,0.847222
0.838800,0.543600,0.840278
0.837500,0.540700,0.833333
0.836200,0.540400,0.833333
0.835000,0.541400,0.833333
0.833800,0.541200,0.833333
0.832500,0.540600,0.840278
0.831200,0.539800,0.833333
0.830000,0.536800,0.826389
0.828800,0.536500,0.833333
0.827500,0.537300,0.826389
0.826200,0.535200,0.819444
0.825000,0.535400,0.833333
0.823800,0.536600,0.826389
0.822500,0.533000,0.819444
0.821200,0.532300,0.819444
0.820000,0.533000,0.819444
0.818800,0.532700,0.819444
0.817500,0.532000,0.819444
0.816300,0.531000,0.819444
0.815000,0.529900,0.812500
0.813800,0.528600,0.812500
0.812500,0.529100,0.812500
0.811300,0.528600,0.805556
0.810000,0.527800,0.819444
0.808800,0.528700,0.812500
0.807500,0.524800,0.805556
0.806300,0.524000,0.805556
0.805000,0.524500,0.798611
0.803800,0.524100,0.805556
0.802500,0.525200,0.798611
0.801300,0.523300,0.805556
0.800000,0.523700,0.798611
0.801300,0.521300,0.798611
0.802500,0.521400,0.798611
0.803800,0.521400,0.791667
0.805000,0.521500,0.798611
0.806300,0.523600,0.798611
0.807500,0.523000,0.791667
0.808800,0.523200,0.791667
0.810000,0.525500,0.791667
0.811300,0.527100,0.791667
0.812500,0.528700,0.798611
0.813800,0.530200,0.798611
0.815000,0.530000,0.798611
0.816300,0.530600,0.798611
0.817500,0.531700,0.798611
0.818800,0.533000,0.798611
0.820000,0.534600,0.798611
0.821300,0.536300,0.805556
0.822500,0.538200,0.812500
0.823800,0.538300,0.805556
0.825000,0.537500,0.805556
0.826300,0.539800,0.812500
0.827500,0.541900,0.812500
0.828800,0.542100,0.819444
0.830000,0.543300,0.819444
0.831300,0.542900,0.819444
0.832500,0.543700,0.819444
0.833800,0.544900,0.819444
0.835000,0.546400,0.826389
0.836300,0.548100,0.826389
0.837500,0.548000,0.833333
0.838800,0.549000,0.826389
0.840000,0.548400,0.833333
0.841300,0.550900,0.826389
0.842500,0.551100,0.833333
0.843800,0.554000,0.840278
0.845000,0.554500,0.840278
0.846200,0.553900,0.840278
0.847500,0.554500,0.840278
0.848700,0.555500,0.847222
0.850000,0.556900,0.840278
0.851200,0.556500,0.847222
0.852500,0.559000,0.854167
0.853700,0.559200,0.847222
0.855000,0.558300,0.854167
0.856200,0.560500,0.854167
0.857500,0.560400,0.854167
0.858700,0.561200,0.854167
0.860000,0.562200,0.861111
0.861200,0.563500,0.861111
0.862500,0.563100,0.861111
0.863700,0.563600,0.861111
0.865000,0.564500,0.861111
0.866200,0.565700,0.868056
0.867500,0.567000,0.868056
0.868700,0.566500,0.868056
0.870000,0.567000,0.868056
0.871300,0.567900,0.868056
0.872500,0.569000,0.868056
0.873700,0.570300,0.881944
0.875000,0.571700,0.868056
0.876300,0.569400,0.875000
0.877500,0.572700,0.875000
0.878800,0.573100,0.881944
0.880000,0.574100,0.881944
0.881300,0.573500,0.881944
0.882500,0.573900,0.881944
0.883800,0.574600,0.881944
0.885000,0.575700,0.881944
0.886300,0.576800,0.888889
0.887500,0.578200,0.888889
0.888800,0.577700,0.888889
0.890000,0.578200,0.888889
0.891300,0.579000,0.895833
0.892500,0.580100,0.888889
0.893800,0.579400,0.895833
0.895000,0.581600,0.895833
0.896300,0.581400,0.902778
0.897500,0.582100,0.895833
0.898800,0.581100,0.895833
0.900000,0.583100,0.895833
0.901300,0.584600,0.902778
0.902500,0.586200,0.909722
0.903800,0.585900,0.902778
0.905000,0.584500,0.902778
0.906200,0.586300,0.909722
0.907500,0.587700,0.902778
0.908700,0.587200,0.916667
0.910000,0.589500,0.909722
0.911200,0.587600,0.916667
0.912500,0.589200,0.909722
0.913700,0.588500,0.909722
0.915000,0.590700,0.916667
0.916200,0.592400,0.923611
0.917500,0.592100,0.916667
0.918700,0.590800,0.916667
0.920000,0.592500,0.916667
0.921200,0.593900,0.923611
0.922500,0.595300,0.923611
0.923700,0.594900,0.923611
0.925000,0.595400,0.923611
0.926200,0.596200,0.923611
0.927500,0.597300,0.930556
0.928700,0.598500,0.930556
0.930000,0.597900,0.930556
0.931200,0.598300,0.930556
0.932500,0.599100,0.930556
0.933700,0.600000,0.930556
0.935000,0.601200,0.937500
0.936200,0.602500,0.937500
0.937500,0.602000,0.937500
0.938800,0.602400,0.937500
0.940000,0.603200,0.937500
0.941200,0.604300,0.944444
0.942500,0.605500,0.944444
0.943800,0.604900,0.944444
0.945000,0.605300,0.944444
0.946200,0.606000,0.944444
0.947500,0.607000,0.944444
0.948800,0.608100,0.951389
0.950000,0.609400,0.951389
0.951200,0.608900,0.951389
0.952500,0.609300,0.951389
0.953800,0.610100,0.951389
0.955000,0.611200,0.958333
0.956300,0.612300,0.958333
0.957500,0.611800,0.958333
0.958800,0.612100,0.958333
0.960000,0.612900,0.958333
0.961300,0.613800,0.958333
0.962500,0.615000,0.972222
0.963800,0.616200,0.958333
0.965000,0.613800,0.965278
0.966300,0.616900,0.958333
0.967500,0.617100,0.972222
0.968800,0.619900,0.972222
0.970000,0.618300,0.965278
0.971200,0.618200,0.972222
0.972500,0.620600,0.972222
0.973700,0.620500,0.972222
0.975000,0.621300,0.979167
0.976200,0.622300,0.972222
0.977500,0.621600,0.979167
0.978700,0.623700,0.972222
0.980000,0.623600,0.979167
0.981200,0.626100,0.986111
0.982500,0.626200,0.986111
0.983700,0.625200,0.979167
0.985000,0.625300,0.986111
0.986200,0.627700,0.986111
0.987500,0.627700,0.993056
0.988700,0.628400,0.986111
0.990000,0.627500,0.993056
0.991200,0.629500,0.986111
0.992500,0.629300,0.993056
