r,omega,u
50,36.1719,0.246094
50,37.0977,0.242188
50,38.0234,0.222656
50,38.9375,0.207031
50,39.8242,0.199219
50,40.6875,0.191406
50,41.4844,0.207031
50,42.2344,0.21875
50,42.9492,0.222656
50,43.6367,0.226563
50,44.3242,0.210938
50,45.0352,0.179688
50,45.7227,0.175781
50,46.375,0.179688
50,46.9844,0.183594
50,47.5742,0.183594
50,48.1602,0.167969
50,48.7344,0.15625
50,49.2852,0.15625
50,49.7852,0.171875
50,50.2734,0.164063
50,50.75,0.160156
50,51.1992,0.160156
50,51.625,0.164063
50,52.0234,0.167969
50,52.4375,0.152344
50,52.7969,0.167969
50,53.0977,0.199219
50,53.4609,0.15625
50,53.8477,0.132813
50,54.2344,0.117188
50,54.5742,0.132813
50,54.8867,0.132813
50,55.1719,0.140625
50,55.4219,0.152344
50,55.6484,0.164063
50,55.875,0.160156
50,56.1602,0.113281
50,56.4727,0.0859375
50,56.7734,0.0742188
50,57.0469,0.0742188
50,57.2969,0.0742188
50,57.5234,0.0742188
50,57.6992,0.09375
50,57.8594,0.09375
50,58.0352,0.078125
50,58.2109,0.0703125
50,58.3477,0.0820313
50,58.4375,0.109375
50,58.4609,0.144531
50,58.4609,0.167969
50,58.4609,0.171875
50,58.4844,0.164063
50,58.5117,0.167969
50,58.5469,0.164063
50,58.5742,0.175781
50,58.5977,0.175781
50,58.625,0.179688
50,58.6484,0.179688
50,58.6875,0.175781
50,58.7109,0.183594
50,58.7344,0.183594
50,58.7734,0.175781
50,58.8242,0.167969
50,58.875,0.164063
50,58.9492,0.144531
50,59.0352,0.128906
50,59.1602,0.0976563
50,59.2969,0.078125
50,59.4219,0.0703125
50,59.5234,0.0703125
50,59.5742,0.0859375
50,59.5859,0.101563
50,59.5977,0.0976563
50,59.5977,0.101563
50,59.5977,0.0976563
50,59.6094,0.0859375
50,59.6094,0.0898438
50,59.6094,0.0859375
50,59.6094,0.0820313
50,59.6094,0.0742188
50,59.6094,0.0703125
50,59.6094,0.0625
50,59.6094,0.0585938
50,59.6094,0.0507813
50,59.6094,0.046875
50,59.6094,0.0390625
50,59.6094,0.03125
50,59.6094,0.0234375
50,59.6094,0.015625
50,59.6094,0.0078125
50,59.6094,0
50,59.6094,-0.0078125
50,59.6094,-0.015625
50,59.6094,-0.0234375
50,59.6094,-0.0351563
50,59.6094,-0.0429688
50,59.6094,-0.0546875
50,59.6094,-0.0664063
50,59.5977,-0.0664063
50,59.5977,-0.0859375
50,59.5977,-0.0976563
50,59.5742,-0.09375
50,59.5234,-0.0859375
50,59.4727,-0.09375
50,59.4102,-0.09375
50,59.3477,-0.0976563
50,59.2852,-0.105469
50,59.2344,-0.117188
50,59.1875,-0.125
50,59.1484,-0.140625
50,59.0977,-0.140625
50,59.0234,-0.132813
50,58.9219,-0.121094
50,58.7852,-0.101563
50,58.5977,-0.0664063
50,58.3867,-0.0429688
50,58.1992,-0.046875
50,58.0625,-0.0703125
50,58,-0.113281
50,58,-0.15625
50,57.9844,-0.160156
50,57.9609,-0.164063
50,57.9219,-0.164063
50,57.875,-0.164063
50,57.7969,-0.15625
50,57.7227,-0.160156
50,57.625,-0.148438
50,57.5,-0.132813
50,57.3594,-0.125
50,57.2344,-0.128906
50,57.1094,-0.125
50,57.0117,-0.140625
50,56.8984,-0.132813
50,56.7969,-0.140625
50,56.7109,-0.148438
50,56.6094,-0.140625
50,56.5,-0.132813
50,56.3984,-0.140625
50,56.2852,-0.128906
50,56.1719,-0.128906
50,56.0859,-0.140625
50,56.0117,-0.148438
50,55.9492,-0.160156
50,55.8867,-0.164063
50,55.8125,-0.15625
50,55.7227,-0.152344
50,55.5977,-0.128906
50,55.4375,-0.101563
50,55.25,-0.0742188
50,55.0742,-0.0703125
50,54.9102,-0.0703125
50,54.7969,-0.0898438
50,54.7344,-0.117188
50,54.6992,-0.132813
50,54.6719,-0.144531
50,54.625,-0.132813
50,54.5742,-0.136719
50,54.5117,-0.128906
50,54.4375,-0.121094
50,54.3477,-0.113281
50,54.2734,-0.117188
50,54.1875,-0.109375
50,54.0977,-0.109375
50,54.0234,-0.113281
50,53.9375,-0.101563
50,53.8594,-0.109375
50,53.7969,-0.113281
50,53.7344,-0.113281
50,53.6992,-0.128906
50,53.6484,-0.121094
50,53.5859,-0.113281
50,53.5352,-0.121094
50,53.4844,-0.121094
50,53.4375,-0.121094
50,53.3867,-0.125
50,53.3359,-0.125
50,53.2969,-0.132813
50,53.2617,-0.132813
50,53.2344,-0.144531
50,53.2227,-0.152344
50,53.1992,-0.148438
50,53.1602,-0.144531
50,53.125,-0.148438
50,53.0625,-0.132813
50,53,-0.132813
50,52.9102,-0.113281
50,52.7734,-0.078125
50,52.5977,-0.0429688
50,52.3984,-0.015625
50,52.2109,-0.00390625
50,52.0742,-0.0195313
50,51.9844,-0.0351563
50,51.9727,-0.078125
50,51.9727,-0.0859375
50,51.9727,-0.0898438
50,51.9727,-0.0898438
50,51.9727,-0.09375
50,51.9727,-0.0976563
50,51.9727,-0.101563
50,51.9727,-0.101563
50,51.9727,-0.105469
50,51.9727,-0.109375
50,51.9727,-0.113281
