r,omega,u
14.4375,14.5117,0.101563
14.5,14.5859,0.101563
14.5625,14.6602,0.0976563
14.625,14.7109,0.113281
14.6875,14.7344,0.128906
14.75,14.7617,0.132813
14.8125,14.7852,0.136719
14.875,14.8125,0.140625
14.9375,14.8242,0.152344
15,14.8594,0.144531
15.0625,14.8867,0.152344
15.125,14.9219,0.152344
15.1875,14.9609,0.152344
15.25,15.0117,0.148438
15.3125,15.0469,0.160156
15.375,15.0859,0.164063
15.4375,15.125,0.167969
15.5,15.1719,0.164063
15.5625,15.2227,0.164063
15.625,15.2852,0.160156
15.6875,15.3594,0.152344
15.75,15.4727,0.128906
15.8125,15.625,0.101563
15.875,15.8125,0.0664063
15.9375,16.0117,0.046875
16,16.1992,0.0390625
16.0625,16.3477,0.046875
16.125,16.4844,0.046875
16.1875,16.5859,0.0585938
16.25,16.6875,0.0546875
16.3125,16.7734,0.0546875
16.375,16.8359,0.0664063
16.4375,16.8867,0.0742188
16.5,16.9219,0.0820313
16.5625,16.9609,0.0820313
16.625,17,0.0820313
16.6875,17.0234,0.09375
16.75,17.0625,0.0859375
16.8125,17.0859,0.0976563
16.875,17.125,0.0898438
16.9375,17.1602,0.09375
17,17.2109,0.0859375
17.0625,17.2344,0.101563
17.125,17.2734,0.0976563
17.1875,17.3242,0.09375
17.25,17.3867,0.0859375
17.3125,17.4375,0.09375
17.375,17.5117,0.078125
17.4375,17.5859,0.0742188
17.5,17.6875,0.0585938
17.5625,17.7852,0.0507813
17.625,17.8594,0.0625
17.6875,17.9375,0.0625
17.75,17.9609,0.0898438
17.8125,17.9609,0.109375
17.875,17.9609,0.113281
17.9375,17.9609,0.121094
18,17.9727,0.121094
18.0625,17.9727,0.132813
18.125,17.9844,0.132813
18.1875,18.0117,0.128906
18.25,18.0234,0.140625
18.3125,18.0469,0.140625
18.375,18.0742,0.144531
18.4375,18.0859,0.15625
18.5,18.125,0.148438
18.5625,18.1602,0.152344
18.625,18.1875,0.164063
18.6875,18.2227,0.160156
18.75,18.25,0.171875
18.8125,18.2852,0.171875
18.875,18.3125,0.183594
18.9375,18.3477,0.179688
19,18.3867,0.1875
19.0625,18.4219,0.191406
19.125,18.4727,0.1875
19.1875,18.5469,0.175781
19.25,18.6367,0.167969
19.3125,18.7734,0.136719
19.375,18.9375,0.113281
19.4375,19.1367,0.0820313
19.5,19.2969,0.0898438
19.5625,19.4219,0.101563
19.625,19.5234,0.113281
19.6875,19.6094,0.117188
19.75,19.6875,0.121094
19.8125,19.75,0.128906
19.875,19.8242,0.121094
19.9375,19.8867,0.128906
20,19.9609,0.121094
20.0625,20.0117,0.132813
20.125,20.0625,0.136719
20.1875,20.125,0.128906
20.25,20.1719,0.136719
20.3125,20.2344,0.132813
20.375,20.3242,0.117188
20.4375,20.4102,0.113281
20.5,20.4844,0.121094
20.5625,20.5742,0.109375
20.625,20.6484,0.113281
20.6875,20.7109,0.121094
20.75,20.75,0.136719
20.8125,20.7969,0.132813
20.875,20.8359,0.140625
20.9375,20.875,0.144531
21,20.8984,0.15625
21.0625,20.9102,0.167969
21.125,20.9375,0.164063
21.1875,20.9609,0.171875
21.25,21,0.167969
