r,u,omega
1.300000,0.800000,1.305556
1.300000,0.800000,1.298611
1.300000,0.800000,1.298611
1.300000,0.800000,1.305556
1.300000,0.800000,1.298611
1.300000,0.800000,1.298611
1.300000,0.800000,1.298611
1.300000,0.800000,1.305556
1.300000,0.800000,1.298611
1.300000,0.800000,1.298611
1.300000,0.800000,1.298611
1.300000,0.800000,1.298611
1.300000,0.800000,1.305556
1.300000,0.800000,1.291667
1.300000,0.800000,1.305556
1.300000,0.800000,1.305556
1.300000,0.800000,1.298611
1.300000,0.800000,1.291667
1.300000,0.800000,1.305556
1.300000,0.800000,1.305556
1.300000,0.800000,1.298611
1.300000,0.800000,1.298611
1.300000,0.800000,1.298611
1.300000,0.800000,1.305556
1.300000,0.800000,1.298611
1.300000,0.800000,1.298611
1.300000,0.800000,1.305556
1.300000,0.800000,1.305556
1.300000,0.800000,1.298611
1.300000,0.800000,1.298611
1.300000,0.800000,1.298611
1.300000,0.800000,1.305556
1.300000,0.800000,1.298611
1.300000,0.800000,1.298611
1.300000,0.800000,1.298611
1.300000,0.800000,1.305556
1.300000,0.800000,1.291667
1.300000,0.800000,1.298611
1.300000,0.800000,1.305556
1.300000,0.800000,1.298611
1.300000,0.800000,1.298611
0.800000,0.790000,1.298611
0.800000,0.770000,1.305556
0.800000,0.750000,1.291667
0.800000,0.730000,1.277778
0.800000,0.710000,1.277778
0.800000,0.690000,1.256944
0.800000,0.670000,1.236111
0.800000,0.650000,1.208333
0.800000,0.630000,1.194444
0.800000,0.610000,1.166667
0.800000,0.590000,1.138889
0.800000,0.580000,1.118056
0.800000,0.560000,1.083333
0.800000,0.550000,1.062500
0.800000,0.530000,1.041667
0.800000,0.520000,1.000000
0.800000,0.510000,0.979167
0.800000,0.500000,0.951389
0.800000,0.490000,0.930556
0.800000,0.480000,0.909722
0.800000,0.470000,0.875000
0.800000,0.460000,0.854167
0.800000,0.460000,0.826389
0.800000,0.450000,0.812500
0.800000,0.450000,0.791667
0.800000,0.450000,0.770833
0.800000,0.440000,0.750000
0.800000,0.440000,0.729167
0.800000,0.440000,0.722222
0.800000,0.440000,0.701389
0.800000,0.440000,0.687500
0.800000,0.440000,0.680556
0.800000,0.450000,0.680556
0.800000,0.450000,0.659722
0.800000,0.450000,0.652778
0.800000,0.460000,0.652778
0.800000,0.460000,0.652778
0.800000,0.460000,0.645833
0.800000,0.470000,0.652778
0.800000,0.470000,0.652778
0.800000,0.470000,0.652778
0.800000,0.480000,0.652778
0.800000,0.480000,0.652778
0.800000,0.480000,0.666667
0.800000,0.490000,0.659722
0.800000,0.490000,0.673611
0.800000,0.500000,0.680556
0.800000,0.500000,0.687500
0.800000,0.500000,0.687500
0.800000,0.500000,0.694444
