r,u,omega
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.770000,1.291667
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.312500
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.770000,1.291667
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.291667
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.291667
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.298611
1.300000,0.770000,1.298611
1.300000,0.770000,1.305556
0.800000,0.770000,1.298611
0.800000,0.750000,1.298611
0.800000,0.740000,1.298611
0.800000,0.710000,1.291667
0.800000,0.690000,1.284722
0.800000,0.670000,1.256944
0.800000,0.650000,1.243056
0.800000,0.630000,1.229167
0.800000,0.610000,1.201389
0.800000,0.590000,1.173611
0.800000,0.570000,1.145833
0.800000,0.550000,1.125000
0.800000,0.540000,1.097222
0.800000,0.520000,1.069444
0.800000,0.500000,1.034722
0.800000,0.490000,1.013889
0.800000,0.480000,0.986111
0.800000,0.470000,0.958333
0.800000,0.460000,0.930556
0.800000,0.450000,0.895833
0.800000,0.440000,0.875000
0.800000,0.430000,0.854167
0.800000,0.430000,0.826389
0.800000,0.420000,0.805556
0.800000,0.420000,0.777778
0.800000,0.410000,0.756944
0.800000,0.410000,0.736111
0.800000,0.410000,0.722222
0.800000,0.410000,0.701389
0.800000,0.410000,0.694444
0.800000,0.410000,0.666667
0.800000,0.410000,0.659722
0.800000,0.420000,0.652778
0.800000,0.420000,0.638889
0.800000,0.420000,0.631944
0.800000,0.430000,0.631944
0.800000,0.430000,0.625000
0.800000,0.440000,0.631944
0.800000,0.440000,0.625000
0.800000,0.440000,0.625000
0.800000,0.450000,0.631944
0.800000,0.450000,0.631944
0.800000,0.460000,0.638889
0.800000,0.460000,0.645833
0.800000,0.470000,0.659722
0.800000,0.470000,0.659722
0.800000,0.480000,0.666667
0.800000,0.480000,0.673611
0.800000,0.480000,0.680556
0.800000,0.490000,0.680556
0.800000,0.490000,0.701389
0.800000,0.490000,0.701389
0.800000,0.500000,0.715278
0.800000,0.500000,0.715278
0.800000,0.500000,0.722222
0.800000,0.500000,0.729167
0.800000,0.500000,0.736111
0.800000,0.510000,0.736111
0.800000,0.510000,0.750000
0.800000,0.510000,0.756944
0.800000,0.510000,0.750000
0.800000,0.510000,0.756944
0.800000,0.510000,0.756944
0.800000,0.510000,0.763889
0.800000,0.510000,0.770833
0.800000,0.510000,0.770833
0.800000,0.510000,0.770833
0.800000,0.510000,0.770833
