r,u,omega
0.920000,0.580000,0.916667
0.910000,0.580000,0.923611
0.910000,0.570000,0.916667
0.910000,0.570000,0.909722
0.910000,0.570000,0.909722
0.910000,0.570000,0.909722
0.910000,0.570000,0.909722
0.910000,0.570000,0.909722
0.910000,0.570000,0.909722
0.900000,0.570000,0.902778
0.900000,0.570000,0.902778
0.900000,0.570000,0.902778
0.900000,0.570000,0.902778
0.900000,0.570000,0.902778
0.900000,0.570000,0.895833
0.900000,0.570000,0.895833
0.900000,0.570000,0.895833
0.890000,0.560000,0.902778
0.890000,0.560000,0.895833
0.890000,0.560000,0.888889
0.890000,0.560000,0.888889
0.890000,0.560000,0.888889
0.890000,0.560000,0.888889
0.890000,0.560000,0.895833
0.890000,0.560000,0.888889
0.880000,0.560000,0.881944
0.880000,0.560000,0.881944
0.880000,0.560000,0.881944
0.880000,0.560000,0.888889
0.880000,0.560000,0.881944
0.880000,0.560000,0.875000
0.880000,0.560000,0.881944
0.880000,0.560000,0.875000
0.880000,0.550000,0.868056
0.870000,0.550000,0.881944
0.870000,0.550000,0.875000
0.870000,0.550000,0.868056
0.870000,0.550000,0.868056
0.870000,0.550000,0.868056
0.870000,0.550000,0.868056
0.870000,0.550000,0.868056
0.870000,0.550000,0.868056
0.860000,0.550000,0.861111
0.860000,0.550000,0.868056
0.860000,0.550000,0.854167
0.860000,0.550000,0.861111
0.860000,0.550000,0.868056
0.860000,0.550000,0.854167
0.860000,0.550000,0.854167
0.860000,0.540000,0.854167
0.850000,0.540000,0.854167
0.850000,0.540000,0.854167
0.850000,0.540000,0.854167
0.850000,0.540000,0.854167
0.850000,0.540000,0.847222
0.850000,0.540000,0.847222
0.850000,0.540000,0.840278
0.850000,0.540000,0.847222
0.840000,0.540000,0.847222
0.840000,0.540000,0.847222
0.840000,0.540000,0.840278
0.840000,0.540000,0.840278
0.840000,0.540000,0.833333
0.840000,0.540000,0.840278
0.840000,0.530000,0.840278
0.830000,0.530000,0.833333
0.830000,0.530000,0.833333
0.830000,0.530000,0.833333
0.830000,0.530000,0.826389
0.830000,0.530000,0.833333
0.830000,0.530000,0.833333
0.830000,0.530000,0.826389
0.830000,0.530000,0.826389
0.820000,0.530000,0.819444
0.820000,0.530000,0.826389
0.820000,0.530000,0.819444
0.820000,0.530000,0.826389
0.820000,0.530000,0.819444
0.820000,0.530000,0.819444
0.820000,0.530000,0.812500
0.820000,0.520000,0.819444
